,text,is_depressed
36,Quantas vezes já fui o chão de pessoas caídas.,True
37,"Se o espelho refletisse o que sinto por dentro, ele me estenderia a mão.",True
38,Estou estocando esperança dentro do vazio.,True
39,Sou o mais sorridente das festas mais no fim delas sou oq mais choro.,True
40,No fim da festa o palhaço é oq mais chora,True
41,Vê meus sorrisos mais não vê minhas tristezas,True
42,"""Memorias são fantasmas que sopram no meu ouvido""",True
43,-Os suicidas carregam sempre um belo sorriso no rosto.,True
44,"""Não confunda meu silêncio com fraqueza, ninguém planeja um suicídio em voz alta""",True
45,New Album!! Cannot wait!!! #CAGETORATTLE,True
46,Eu sinto como se errasse todos os dias!,True
47,"Coisas que eu faço melhor
1.Afastar pessoas. 
2.Dormir. 
3.Estragar as coisas. 
4.Fazer papel de trouxa. 
 importar com quem não merece.",True
48,Não peça conselhos para mim. Vai que eu estrago sua vida também.,True
49,"""pode haver uma grande história por trás de um estou bem...""",True
50,Nem sempre é fácil sorrir quando na verdade esta chorando por dentro...,True
51,Há sorrisos que escondem tristezas e muitas lágrimas derramadas em silêncio.,True
52,"Você não consegue explicar, mas sente.",True
53,Algumas mágoas são o reflexo de várias histórias de sofrimento guardadas em silêncio.,True
54,Lágrimas e mais lágrimas e mesmo assim não consigo expulsar esta tristeza do meu coração!,True
55,Poucos entendem que por trás de um sorriso às vezes está um coração amargurado.,True
56,Como é triste perceber que estamos sós até mesmo no meio de tanta gente.,True
57,"Às vezes não queremos chorar, mas o coração não dá outra opção.",True
58,"Queimamos e sangramos
Tentamos esquecer
Mas as memórias que ficam
Continuam a nos assombrar

-Dangerous Night-",True
59,"Falta algo, falta alguém. Sobra vazio, sobra uma angústia que da tristeza me faz refém.",True
60,Não existe carga mais pesada que o peso do vazio.,True
61,"Eu aprendi que as pessoas não vão fazer por mim, nem metade do que eu já fiz por elas.",True
62,"Se alguém estiver afim de comprar droga, estou vendendo minha vida.",True
63,"Às vezes fico me perguntando, se eu nasci para viver ou para me ferrar.",True
64,"Já perdi as contas de quantas vezes achei que tudo ia ser diferente, e não foi.",True
65,Você se matou dentro de mim.,True
66,"O que você pode fazer
Quando o seu melhor não é bom o suficiente. 

-Get It Right-",True
67,????,False
68,"Talvez eu esteja tão vazio, que já não sou mais ninguém.",True
69,"Quando se está triste até as coisas que mais lhe faz sorrir perde a graça, perde a cor e até o sentido.",True
70,Triste morrer em uma ilha que eu mesmo criei e não saber nadar.,True
71,"Quando se está triste até as coisas que mais lhe faz sorrir perde a graça, perde a cor e até o sentido",True
72,"Não sei se minha vida é uma merda, porque estou depressivo ou, se estou depressivo, porque minha vida é uma merda.",True
73,"Se a noite é uma criança, a madrugada é um adolescente depressivo.",True
74,"Quem se importa se mais uma luz se apagar?
Bem, eu me importo...

-Linkin-",True
75,"Vai ficar tudo bem, eu sei... Se não ficar eu finjo!",True
76,"Tem sido dias confusos, sabe ?",True
77,"Um lugar mais triste que minha mente, é minha realidade.",True
78,A tristeza não mata mas destrói aos poucos.,True
79,Deixo que as lágrimas percorram meu rosto na esperança que elas lavem também minha alma.,True
80,Pena que o tempo leve tudo menos a tristeza que cresce em mim dia após dia.,True
81,"Viver é também colecionar decepções, derrotas e cicatrizes.",True
82,A imaginação é a nossa melhor amiga contra a solidão.,True
83,Chorar é a forma mais dolorosa de morrer.,True
84,É tão ruim quando a gente para pra olhar ao nosso redor e percebe que as pessoas estão indo embora.,True
85,"Dentro do meu silêncio, há um milhão de pensamentos...",True
86,Lágrimas me arranham e sinto minha alma vazia.,True
87,"Sou só uma pessoa triste, num dia triste, numa vida triste.",True
88,"Todo mundo tem seu cantinho da tristeza, o meu é dentro de mim mesmo.",True
89,"Eu me sentia cansado, no corpo e na mente.

— Charles Bukowski.",True
90,Às vezes faz falta ter um lugar para fugir quando todo mundo resolve te magoar,True
91,A vida é uma piada cruel.,True
92,Meu coração já ta rouco de tanto gritar e ninguém ouvir,True
93,E você olha pra si mesmo e percebe que todo seu esforço não ta servindo pra porra nenhuma.,True
94,É só uma questão de tempo ate a tristeza me consumir por completo,True
95,Por que estou gritando e ninguém me escuta  ?,True
96,Me diz aí: até quando você vai ficar sustentando essa tua máscara sabendo que não está feliz?,True
97,Meus próprios pensamentos me dão pesadelos.,True
98,"A tristeza é uma droga, e eu estou viciado.",True
99,Cada dia que passa me sinto mais vazio.,True
100,Por quanto tempo você consegue segurar no rosto um sorriso que não é seu?,True
101,"Eu não estou sangrando, mas dói muito.

- Gaara-",True
102,"Se é “tudo para chamar atenção"", então por que fazemos tanta questão de esconder?",True
103,Lágrimas… Algumas vezes são as melhores palavras que o coração pode falar.,True
104,A pior dor é aquela que fingimos não sentir.,True
105,"Eu não me sinto suficiente e isso dói, dói pra caralho…",True
106,Lagrimas são palavras de um coração triste.,True
107,Pulsos cortados. sorrisos forçados. Ninguém nota. ninguém se importa.,True
108,"Eu respiro saudade.
E nunca doeu tanto respirar.",True
109,Esse é o problema da solidão. Ela entra e cresce em você como um silêncio profundo.,True
110,"Dói né. Quando você sente algo te matar por dentro, mas aí você tem que agir como isso nem afetasse você.

— Supernatural.",True
111,Como engolir o choro quando a dor mal te deixa respirar?,True
112,Eu aprendi a contar as minhas dores para o papel e não para as pessoas.,True
113,"É uma sensação estranha, um vazio, não sei dizer o que é pior, sentir qualquer coisa que seja ou não sentir nada.",True
114,"Eu tenho medo de falhar, sei que errar é Humano mas quando eu falho é como se eu não fosse bom o suficiente.",True
115,"Eu estou cansado, sabe.? Estou cansado pra porra",True
116,Ouvir músicas tristes: Uma forma de se afogar definitivamente numa depressão.,True
117,Quem sofre de depressão não precisa de inimigos.,True
118,"A pior depressão de um ser humano é
saber que poderia fazer o melhor e faz o pior.",True
119,"Para uma alma corroída pela depressão, todo doce é amargo.",True
120,A solidão do homem pode causar inspiração ou depressão!,True
121,"O difícil da depressão é justificar um choro, injustificável !",True
122,"Quantos mortos vivos há entre nós? Não zumbis, mas pessoas mortas por dentro.",True
123,"Quando as palavras não saem, as lágrimas falam por você.",True
124,"Escrever tem sido meu refúgio, o mais saudável deles, tem sido o meu remédio pra depressão.",True
125,"Depressão pós-nada: Nada te aconteceu, mas você fica deprimido mesmo assim.",True
126,"Odeio me senti assim, frio, triste e sozinho.",True
127,"Não tenho muitos amigos
Nunca me senti em casa
Sempre sendo meu próprio homem
Completamente sozinho

-Love Of The Loveless-",True
128,"Eu não sabia, você deveria ter dito que você se importava,
Não é tarde demais para corações partidos

-Watching For Comets-",True
129,"Quando você se abre, quando você diz o que está sentindo, as pessoas te quebram. Então, sim, o silêncio é seguro.",True
130,"Forte eu nunca fui, meu coração continua sendo bobo, frágil. Mas hoje disfarço melhor

-Querido John-",True
131,"Se decepção ensina, eu cansei de aprender.",True
132,"E eu digo que eu to bem, mentindo que eu vou bem, falando tá tudo bem. Na esperança de realmente ficar.",True
133,"Estou dançando com meus demônios. Estou no limite.

-Linkin Park-",True
134,Ando reclamando de tudo e todos. Nada na minha vida faz sentido.,True
135,"Busco curar o que está bem aqui dentro
Temendo esta coisa que me tornei

-Africa-",True
136,"Aquele que muito confia, muito se decepciona.",True
137,É triste quando você não tem mais pressa de chegar porque sabe que não tem mais ninguém pra te esperar.,True
138,"Se eu já tive amigos imaginários ? Não, tive amigos que eu imaginava ser verdadeiros.",True
139,"Parece que quanto mais você luta, mais difícil fica.",True
140,"Toda alegria é assim, já vem embrulhada numa tristezinha de papel fino.",True
141,"Minha alma esta doente, me sinto em coma, coma induzido pela tristeza profunda que sinto.",True
142,"Tem dias que não existem emoções, nem pensamentos: só dor!",True
143,"Por que tudo é tão pesado?
Segurando muito mais do que eu posso carregar eu continuo arrastando comigo o que me derruba.

-Linkin Park-",True
144,"Os monstros correm selvagens dentro de mim
Estou desaparecendo 

-Faded-",True
145,As vezes a morte é melhor que a agonia da vida.,True
146,"Estranho, conhecido, colega, amigo, melhor amigo. Ler de trás para frente dói, não é?",True
147,Quantas dores um abraço pode curar.,True
148,"A bagunça do quarto a gente arruma, mas e a do coração?",True
149,O que mais me assusta na dor é que ela precisa ser sentida.,True
150,"Cada dor tem uma história, e cada história tem uma pessoa.",True
151,"Obrigado pela sua amizade, a facada nas costas está doendo até hoje.",True
152,"Doeu. Doeu tanto. Eu queria morrer, eu queria que a dor passasse. Eu queria me enfiar num buraco escuro, e chorar",True
153,Eu só queria arrancar essa dor de dentro de mim agora.,True
154,"Já percebeu que as coisas que mais te trouxeram dores para sua vida, são as mais difíceis esquecer.",True
155,"Estou mergulhado em um mar de tristeza, e o pior é que eu não sei nadar.",True
156,"Como é triste como se vêm à vida, e como da vida se vai.",True
157,Que saudade de mim.,True
158,"Quero ver minha namorada, só ela me faz bem",True
159,Pois é... Mais um dia chato.,True
160,Mais um dia nessa vida de merda,True
161,A vida é o intervalo entre o tempo e a morte.,True
162,"Talvez você já esteja morto, só não percebeu ainda.",True
163,"Dizem que ninguém morre de amor, mas a falta dele mata muita gente.",True
164,Só depois que a pessoa morre que você fala o que realmente sente.,True
165,"Se você não conseguir controlar sua mente, um dia ela pode acabar te matando.",True
166,Eu acho que vou morrer sem entender o ser humano.,True
167,"Aquele momento estranho quando você ouve algo que te mata por dentro, mas tem que agir como se estivesse tudo bem.",True
168,Vivemos pra nada e vamos morrer por alguma coisa.,True
169,Todos os dias nós vamos morrendo aos poucos.,True
170,"Morra sem amizade, mas não sustente falsidade.",True
171,"Nem preciso desse jogo da baleia azul pra morrer, já estou morto por dentro faz muito tempo.",True
172,"Finjo que não sinto nada, mas estou morrendo por dentro.",True
173,"Só sei de uma coisa, quem não dá valor ao outro quando está vivo, não precisa dar quando morrer.",True
174,"A vida vai mastigando, até a morte estar pronta pra nos engolir.",True
175,Morri mas passo bem.,True
176,"Vivemos sabendo que a morte existe, mais fingimos que ela nunca vai acontecer.",True
177,"As pessoas não mudam, só pioram com o tempo.",True
178,O problema do mundo são as pessoas.,True
179,Vi pessoas me abandonarem no momento que mais precisei.,True
180,"O triste não é sentir-se só quando não há mais ninguém por perto. O triste é sentir-se só, mesmo com todos à sua volta",True
181,"Me perdi tentando me achar, me achei tentando me perder.",True
182,Me julgam como se soubessem oq se passa na minha vida.,True
183,Eu me perdi de mim.,True
184,O amor é uma música instrumental com toque triste.,True
185,É díficil se sentir um lixo todos os dias.,True
186,"Não ache que todas as pessoas engraçadas tem uma vida feliz,uma bela risada pode ser um choro na alma.",True
187,"Não vejo uma saída e todos os fantasmas saem para brincar
e cada demônio quer seu pedaço de carne 

-Florence And The Machine-",True
188,"As lágrimas são as últimas palavras, quando perde a voz",True
189,Nada é mais triste do que ter que esconder um sentimento de tristeza,True
190,"Fico triste quando alguém me ofende, mas, com certeza, eu ficaria mais triste se fosse eu o ofensor…",True
191,Não se esconda atrás de um falso sorriso. Você Tem o direito de não estar bem.,True
192,Às vezes eu queria aparecer > Offline < na vida real.,True
193,A morte é o descanso de um pesadelo de uma vida,True
194,Pior do que suportar a dor é fingir que esta tudo bem!,True
195,Se o meu sorriso mostrasse o que realmente estou sentindo ao me verem sorrindo todos chorariam.,True
196,"Pensei que já tinha chegado no fundo dessa depressão... Me enganei, continuo caindo.",True
197,"Eles dizem que eu não duro um dia no mundo real, e eu digo:
vocês não sobreviveriam uma noite no meu...",True
198,"""nunca confie numa luz no fim do túnel, ela pode ser a saída mas também pode ser um trem desgovernado...""",True
199,"As frases eram depressivas e agressivas, mas dentro de cada letra havia apenas a verdade. Tive que me destruir para me tornar forte.",True
200,"Pois é, mais um dia comum, nada de especial, nem interessante, é só mais um diazinho de merda.",True
201,As vezes o melhor é se silenciar.,True
202,Que merda de vida.,True
203,Eu guardo muita coisa só para mim.,True
204,"O mundo poderia se chamar privada, pq minha vida é uma merda",True
205,"Ai vc acorda, abre a porta, olha o céu... E dá uma vontade de se matar.",True
206,Lembranças felizes nos fazem chorar de tristeza.,True
207,Apenas existindo...,True
208,"A vida é um rio com correnteza lenta, que nos leva direto para a morte.",True
209,"Triste é você ter muitos amigos, e na hora que você mais precisa, não aparecer nenhum para ajudar ou estender a mão.",True
210,"Eu não sei mais qual é o meu estado emocional, sério. Não sei se estou feliz ou triste. Apenas sinto um vazio dentro de mim.",True
211,Ninguém vê meu sofrimento por trás do meu sorriso.,True
212,Os demônios gritam na minha cabeça.,True
213,"Quando a saudade fala mais alto, eu apenas ouço as músicas que a gente ouvia juntos... e as lágrimas rolam.",True
214,Mais um dia nesse inferno.,True
215,"Só quem precisa segurar uma lágrima, sabe a dor que ela pode causar.",True
216,"As pessoas pensam que você está bem sempre, mas não sabem o que sente por dentro.",True
217,As pessoas se cansam de ser um sorriso triste atrás de uma pintura sorridente.,True
218,"Só entende de lágrimas quem já chorou, só quem sente a dor sabe o que ela causou.",True
219,"Estou tão só, que parece que estou sem mim.",True
220,"Alguns momentos poderiam ser iguais a música.
Ela acaba, mas você sabe que pode ouvi-la novamente.",True
221,"Oq não te mata, só te faz querer morrer.",True
222,"Mesmo que não seja sua intenção me machucar
Você continua me destruindo
Você poderia, por favor, ter piedade do meu coração?

-Mercy-",True
223,"Odeio aquele sentimento em que você não está necessariamente triste, mas você se sente vazio e todas as coisas em sua volta te irritam.",True
224,É muito triste quando você descobre quem realmente as pessoas são.,True
225,As pessoas deixam para dar valor quando o caixão já está fechado.,True
226,Seria diferente se você soubesse que aquela era a última vez?,True
227,E se fosse seu último dia? Quem você procuraria para dizer adeus?,True
228,Por que as coisas só ficam claras quando é tarde demais?,True
229,"A vida nada mais é do que a morte em conta-gotas, cada gota que se vai, é um pouco que se morre.",True
230,"Não sou bom o bastante, nem divertido o bastante, nem bonito o bastante. Esse é o resumo da minha vida.",True
231,"A verdade é, que eu nunca sou o suficiente.",True
232,Queria que o Chris Daughtry me seguisse. ,True
233,"Só eu que acho que é uma puta mentira essa história de seguir os famosinhos e ganhar seguidores ? Pq comigo não colou, Desculpem.",True
234,Não consegui rt então vou twittar.,True
235,"O sono não vem, e a tristeza não vai.",True
236,Espero que vc tenha o mesmo que vc me desejou.,True
237,"Já bebi de tantas fontes amargas, mereço água doce tbm.",True
238,"Se as pessoas te chamarem de lixo, não ligue, pois lixo tbm é reciclável.",True
239,Ninguém merece ser tratado como lixo.,True
240,"Vc espera tudo das pessoas, menos o desprezo.",True
241,Um foda-se bem grande pra vc que não está ligando pro que eu sinto.,True
242,As vezes vc leva cada rasteira da vida.,True
243,"Oq diabos está errado comigo? Este não é oq eu tenho que ser.

-Linkin Park-",True
244,Ninguém nunca vai saber se você esta sorrindo por felicidade ou para esconder sua tristeza.,True
245,"Com o passar do tempo, as máscaras vão caindo.",True
246,Não posso voltar para ontem porque lá eu era outra pessoa.,True
247,Eu sou aquele amigo...,True
248,Que tristeza agonizante.,True
249,"Eu só quero ser feliz, pq eu não consigo?",True
250,"Quem roubou a minha vida,  por favor,  me devolva.",True
251,"Fingir que estou bem,  já virou rotina.",True
252,Sorrir sem estar feliz é a coisa mais ruim desse mundo.,True
253,Todos me deixam para trás em algum momento.,True
254,"-É difícil viver! 

-É sim mas a gente aprende com o tempo! 

-A gente não aprende,  agente só camufla,  pra parecer forte mais não somos.",True
255,"Ai do nada te dá uma vontade de chorar,  desistir de tudo,  pq tudo desiste de vc.",True
256,Eu me odeio.,True
257,Que bad.,True
258,As coisas se acabam e a gente nem vê.,True
259,Que tristeza.,True
260,Nascemos sem pedir e morremos sem sermos avisados.,True
261,"Quando vem a madrugada, eu me lembro de tudo que passou, todas as coisas que rolou e não tem volta, só resta imaginar e esperar passar.",True
262,saquei kkkkkkkk malz ai.,True
263,"Tbm to legal, hj alguém me tirou da tristeza kkkkkkkkkkkk",True
264,Sagitário e o seu ?,True
265,"Anjos mentem para manter o controle

-Snuff-",True
266,"Nós nunca estávamos vivos, e nós não nasceremos de novo
Mas eu nunca sobreviverei com memórias mortas em meu coração

-Dead Memories-",True
267,"Eu odeio o que me tornei
O pesadelo apenas começou
Eu preciso confessar que eu me sinto como um monstro

-Monster-",True
268,Não sou bom o bastante.,True
269,"-Vc é uma boa pessoa!
-Pq todos vão embora então?",True
270,Sou invisível.,True
271,À um grito incessante dentro de mim.,True
272,"Ouço todo mundo, quando querem desabafar, mais e eu... Ninguém me escuta.",True
273,See You Again é tão ,True
274,"Pessoas riem quando se sentem tristes.

-Cry-",True
275,"Você já sentiu tanta dor?
Não ter nada, sonhar alguma coisa, e depois perder esperando

 -Be Not Always-",True
276,"Todos vieram ver
A menina que agora está morta

-Little Susie-",True
277,Minha vida anda tão sem sentido.,True
278,Eu já me li em muitos livros.,True
279,O para sempre tem prazo de validade.,True
280,Ninguém perde o que nunca teve.,True
281,Os dia passa e o que você fez?,True
282,A autorreflexão permite olhar para dentro de nós e enxergar o quanto somos tão profundos e frágeis.,True
283,Sofrimento virou rotina.,True
284,Vou ouvir Lonely Day :( já to na merda mesmo.,True
285,Eu to cansado...,True
286,Eu tenho que parar de ser trouxa.,True
287,Quanto mais vc se doa menos vc recebe.,True
288,"Vc só é bom quando morre, enquanto vc vive, vc é só mais um na vida das pessoas.",True
289,"Retweet para ganhar seguidores, siga quem retweetou e siga de volta quem te seguiu ",True
290,"O rei dispertou a rainha do mar, num barco acorrentou, por onde andares são teus os mares, quem ouviu temou. …",True
291,"Se vc tivesse uma irmã e ela tivesse um cão, eu escolheria o cão.

-Jack Sparrow-",True
292,"Vc me parece muito familiar, eu já o ameacei ?

-Jack Sparrow-",True
293,"Quando me deixou naquela ilha imunda para morrer, se esqueceu de uma coisa! Eu sou o Capitão Jack Sparrow...",True
294,Logo logo tem mais Capitão.…,True
295,"É difícil esconder a tristeza atrás de risos o tempo todo.  

-Naruto-",True
296,É triste quando você faz de tudo e ninguém reconhece seu esforço.,True
297,"Não que eu seja feliz o tempo todo, é que eu sou um mestre em disfarçar a tristeza.",True
298,"Desistir é fácil, o difícil e manter o sorriso na tristeza.",True
299,"Passo dias engolindo minhas tristezas, mas ninguém vê, ninguém ouve, ninguém sente.",True
300,Quantas tristezas cabem em uma lágrima?,True
301,Vc pode estar cercado por muitos e mesmo assim vai se sentir só.,True
302,"Vou ignorar vcs, do mesmo modo que vcs me ignoram.",True
303,Mais que merda de vida.,True
304,"Ai todo mundo some, e vc pensa ""pra que eu sirvo?""",True
305,"Está tudo perdendo a graça, e a vontade de viver diminui a cada dia que passa.",True
306,"Não importa oq vc faça, quando não é pra ser seu, sempre tem algo que impede.",True
307,Frio sarcástico e sem coração. Foi no que eu me transformei. E só agradeço à sociedade.,True
308,"Uma mentira só é uma boa mentira quando até você acredita nela.

-Jack Sparrow-",True
309,"Tesouros não são apenas ouro e prata, amigo.

-Jack Sparrow-",True
310,Estar na merda faz parte da minha vida.,True
311,"Ninguém sabe como é
Ser o homem triste
Por trás de olhos tristes
Ninguém sabe como é
Ser odiado
Ser destinado
A contar apenas mentiras.",True
312,"Pq vc me machuca tanto, só te dou rosas em troca só recebo espinhos.",True
313,"Só vc não vê, que preciso de vc pra viver.",True
314,É difícil ver que as pessoas mudaram com vc.,True
315,"Só queria ter um dia feliz na minha vida, é pedir muito ? Preciso de compreensão, assim como compreendo as outras pessoas.",True
316,"Alguém sabe onde vende alto estima, preciso de um pouco.",True
317,"Não me resta mais nada
Sim, prefiro ser o perdedor
Que te deu tudo
E não me resta mais nada

-El Perdedor-",True
318,"Nem sei mais oq faço, é tanta tristeza que não cabe mais em mim",True
319,Não aguento mais.,True
320,O vidinha de merda.,True
321,"Eu guardo cada coisa aqui dentro sentimentos... raiva, ódio amor, saudade... É tão difícil guardar tudo isso, pq não sei qual deles sentir.",True
322,Estou tão farto de tudo.,True
323,"A verdade é que ninguém liga pra sua tristeza, mais querem saber o pq de vc estar triste.",True
324,"As vezes eu finjo que estou feliz, pra não ter que explicar o pq de tanta tristeza.",True
325,"Vou colocar meus fones e esquecer que o mundo existe, só assim não vou me sentir um cadáver ambulante.",True
326,Que vida de merda.,True
327,"Queria não sentir isso, mais eu sinto.",True
328,Que angústia.,True
329,"Estou me sentindo um nada... Talvez eu seja um nada, mais um nada como eu tbm tem sentimentos.",True
330,"Não esqueça quem fica com você, quando todos vão embora.",True
331,"Pra eles, você é só uma aberração, como eu.",True
332,"Riram da minha ida, vão chorar com a minha volta.",True
333,"Não sou legal. Não sou simpático, quando eu era mais novo queria matar as pessoas... na verdade muitas eu ainda quero matar.",True
334,"De certa forma, é bom saber que não sou o único fingindo ser normal.",True
335,"Não sei amar, isso é um fato. Mas sei gostar demais, cuidar demais, me preocupar demais. Tudo em overdose.",True
336,O que não nos mata nos torna estranhos.,True
337,"(...) Aí o tempo para e eu me acalmo, abro os olhos e encaro o mundo, e pela primeira vez vejo através dele e entendo a piada: Nada é real.",True
338,"E pra quem não tinha a intenção de sentir nada, eu estou sentindo é muito.",True
339,"Nunca estou bem... Quando me perguntam ""tudo bem?"", sempre respondo sim. Mas na verdade sempre há algo me aborrecendo.",True
340,"Eu nunca me importei muito com o conceito de inferno, mas se ele existe, eu estou nele.",True
341,"Todos temos algo a esconder... Algo obscuro dentro de nós, que não queremos que o mundo veja. Então fingimos que está tudo bem

-Coringa-",True
342,Estou me sentindo um lixo.,True
343,Se eu morresse a única pessoa que sentiria a minha falta é a minha mãe.,True
344,"Eu não me sinto bem, algo está faltando, acho que sou eu.",True
345,Vc mentiu pra mim.,True
346,Só existem dois motivos para que alguém se preocupe com você: ou ela te ama muito ou você tem alguma coisa que a interessa.,True
347,"O mundo continua o mesmo, só há menos razões para se viver.

-Capitão Jack Sparrow-",True
348,Aquelas palavras me magoaram muito,True
349,"A vida é assim, vc não sabe se vive um dia a mais ou um dia a menos.",True
350,Hoo vidinha filha da puta.,True
351,A verdade é que tá tudo uma merda.,True
352,A tristeza me consome.,True
353,Odeio ser esquecido.,True
354,"Mesmo sumindo por horas, vc não sente minha falta.",True
355,Vou dormir  to bem cansado.,True
356,"Eu confesso, eu já matei muitos sentimentos por aí... mas foi em legítima defesa.",True
357,"Eu não acho que você acredite
Em meu suicídio moralista
Eu choro quando anjos merecem morrer!

Chop Suey! - SOAD",True
358,"Um sorriso pode enganar, mas um olhar não consegue esconder o sentimento que um indivíduo carrega em sua história",True
359,Meu silêncio significa um milhão de pensamentos.,True
360,Qual é o nome daquela doença que faz a pessoa se afastar de você e depois dizer que foi você que abandonou ela?,True
361,"Uma lua minguante, uma metade brilhante e uma metade escura... igual a mim.",True
362,Às vezes o único refúgio pra meus problemas é colocar meu fone de ouvido é fingir que nada está acontecendo.,True
363,"Coisas que eu faço melhor
1.Afastar pessoas. 
2.Dormir. 
3.Estragar as coisas. 
4.Fazer papel de trouxa. 
5.Me importar com quem não merece.",True
364,Ninguém merece ficar aprisionado no próprio pesadelo.,True
365,"Não importa quantas mortes eu morra, eu nunca vou esquecer
Não importa quantas vidas eu vivo, eu nunca vou me arrepender.

-Hurricane-",True
366,A vida é um filme estrangeiro sem legendas.,True
367,"Às máscaras caem, amigos se traem, tudo na vida vem como na vida se vai.",True
368,"Eu cresci, amadureci, lapidei o melhor de mim. Muitos me conhecem outros não merecem me conhecer.",True
369,"Isso nunca vai mudar
Fica mais difícil todos os dias
Este lugar é um inferno

-Halestorm-",True
370,"Minha vida é um circo, e adivinha que é o palhaço?",True
371,É cada decepção na minha vida.,True
372,"Por trás de cada sorriso meu, tem tristeza em dobro.",True
373,"Ai eu tenho que fingir que está tudo bem, que aquilo não me magoou, mais na verdade me destruiu.",True
374,Minha vida é um labirinto... E eu estou perdido.,True
375,Estou farto...,True
376,Eu estou triste pra caralho.,True
377,Mais um maldito dia de vida.,True
378,"Você já se sentiu
Como se estivesse enterrado bem fundo
Gritando a sete palmos
Mas ninguém parece ouvir nada?

-Firework-",True
379,"Ele está cheio de angústia
No fundo ele está morrendo todos os dias

-Alter Bridge-",True
380,"Os demônios são tudo na minha cabeça

-Guillotine Part IV-",True
381,"Cansei de esperar, não quer me responder, não responda. Depois não reclame quando eu fizer o mesmo com vc.",True
382,Quando crescemos aprendemos a chorar em silêncio.,True
383,"Eu guardo tudo aqui dentro de mim, guardo até coisas que não queria.",True
384,"Minha cabeça está tão pesada, e meu coração tão vazio.",True
385,"Muito prazer, meu nome é otário.",True
386,Ai vc se sente como se uma mão apertasse seu coração.,True
387,"A gente faz de tudo para ficar com a pessoa mais no fim, terminamos sozinhos.",True
388,"Eles vão esquecer você e de tudo que você é. pare de fingir, você é apenas como o resto.

-Blessthefall-",True
389,"Quando vou ser a primeira opção na sua vida, ou vou ser sempre a segunda ?",True
390,"O que não te mata, te faz querer estar morto tenho um buraco na minha alma crescendo mais e mais

-Drown-",True
391,O legal é que sua namorada te troca por festa de aniversário.,True
392,To de saco cheio ,True
393,"Quando você sentir o meu calor
Olhe nos meu olhos
É onde meus demônios se escondem.

-Demons-",True
394,"A minha vida inteira eu nunca estive presente, era apenas um fantasma fugindo de medo.

-City Of Angels-",True
395,"Quanto mais alto me elevo, mais baixo afundarei, não posso afogar meus demônios, eles sabem nadar

-Can You Feel My Heart-",True
396,"Ai vc espera pela pessoa mais de 4hrs, pra ela falar que teve uns imprevistos e sumir. Na boa é isso que eu ganho por esperar tanto ?",True
397,"Choramos até dormir
Dormiremos sozinhos eternamente.

-Alter Bridge-",True
398,"Eu já tive o suficiente
Há uma voz na minha cabeça
Diz que eu sou melhor morto.

-Bring Me The Horizon-",True
